customerid,gender,age,annual_income_(k$),spending_score_(1-100)
87,female,55.0,57.0,58.0
88,female,22.0,57.0,55.0
89,female,34.0,58.0,60.0
90,female,50.0,58.0,46.0
91,female,68.0,59.0,55.0
92,male,18.0,59.0,41.0
93,male,48.0,60.0,49.0
94,female,40.0,60.0,40.0
95,female,32.0,60.0,42.0
96,male,36.0,60.0,52.0
97,female,47.0,60.0,47.0
98,female,27.0,60.0,50.0
99,male,48.0,61.0,42.0
100,male,20.0,61.0,49.0
101,female,23.0,62.0,41.0
102,female,49.0,62.0,48.0
103,male,67.0,62.0,59.0
104,male,26.0,62.0,55.0
105,male,49.0,62.0,56.0
106,female,21.0,62.0,42.0
107,female,66.0,63.0,50.0
108,male,54.0,63.0,46.0
109,male,68.0,63.0,43.0
110,male,66.0,63.0,48.0
111,male,65.0,63.0,52.0
112,female,19.0,63.0,54.0
113,female,38.0,64.0,42.0
114,male,19.0,64.0,46.0
115,female,18.0,65.0,50.0
116,female,36.0,65.0,50.0
117,female,63.0,65.0,43.0
118,female,49.0,65.0,59.0
119,female,51.0,67.0,43.0
120,female,50.0,67.0,57.0
121,male,27.0,67.0,56.0
122,female,38.0,67.0,40.0
123,female,40.0,69.0,58.0
124,male,39.0,69.0,91.0
125,female,23.0,70.0,50.0
126,female,31.0,70.0,77.0
127,male,43.0,71.0,35.0
128,male,40.0,71.0,95.0
129,male,36.0,62.0,11.0
130,male,38.0,71.0,75.0
131,male,47.0,71.0,9.0
132,male,39.0,71.0,75.0
133,female,25.0,72.0,34.0
134,female,31.0,72.0,71.0
135,male,20.0,73.0,5.0
136,female,29.0,73.0,50.0
137,female,44.0,73.0,7.0
138,male,32.0,73.0,73.0
139,male,19.0,74.0,10.0
140,female,35.0,74.0,72.0
141,female,57.0,75.0,5.0
142,male,32.0,75.0,93.0
143,female,28.0,76.0,40.0
144,female,32.0,76.0,87.0
145,male,25.0,77.0,12.0
146,male,28.0,77.0,97.0
147,male,48.0,77.0,36.0
148,female,32.0,77.0,74.0
149,female,34.0,78.0,22.0
150,male,34.0,78.0,90.0
151,male,43.0,78.0,17.0
152,male,39.0,78.0,88.0
153,female,44.0,78.0,20.0
154,female,38.0,78.0,76.0
155,female,47.0,78.0,16.0
156,female,27.0,78.0,89.0
157,male,37.0,78.0,1.0
158,female,30.0,78.0,50.0
159,male,36.0,78.0,1.0
160,female,30.0,78.0,73.0
161,female,56.0,79.0,35.0
162,female,29.0,79.0,83.0
163,female,19.0,81.0,5.0
164,female,31.0,81.0,93.0
165,male,50.0,85.0,26.0
166,female,36.0,85.0,75.0
167,male,42.0,86.0,20.0
168,female,33.0,86.0,95.0
169,female,36.0,87.0,27.0
170,male,32.0,87.0,63.0
171,male,36.0,87.0,13.0
172,male,28.0,87.0,75.0
173,male,36.0,87.0,10.0
174,male,36.0,87.0,92.0
175,female,36.0,88.0,13.0
176,female,30.0,88.0,86.0
177,male,58.0,88.0,15.0
178,male,27.0,88.0,69.0
179,male,59.0,93.0,14.0
180,male,35.0,93.0,90.0
181,female,37.0,97.0,32.0
182,female,32.0,97.0,86.0
183,male,46.0,98.0,15.0
184,female,29.0,62.0,88.0
185,female,41.0,99.0,39.0
186,male,30.0,99.0,97.0
187,female,54.0,101.0,24.0
188,male,28.0,101.0,68.0
189,female,41.0,62.0,17.0
190,female,36.0,103.0,85.0
191,female,34.0,103.0,23.0
192,female,32.0,103.0,69.0
193,male,33.0,113.0,8.0
194,female,38.0,113.0,91.0
195,female,47.0,120.0,16.0
196,female,35.0,120.0,79.0
197,female,45.0,126.0,28.0
198,male,32.0,126.0,74.0
199,male,32.0,137.0,18.0
200,male,30.0,137.0,83.0
